time,open,high,low,close,tick_volume,spread,real_volume
2025-09-11 21:00:00,1.35707,1.35731,1.35696,1.35723,331,2,0
2025-09-11 21:05:00,1.35724,1.35748,1.35723,1.35735,371,2,0
2025-09-11 21:10:00,1.35734,1.35752,1.35727,1.35744,349,2,0
2025-09-11 21:15:00,1.35743,1.35754,1.35731,1.35735,398,2,0
2025-09-11 21:20:00,1.35736,1.35748,1.35732,1.35746,295,2,0
2025-09-11 21:25:00,1.35747,1.3576,1.3574,1.3574899999999999,278,2,0
2025-09-11 21:30:00,1.3574899999999999,1.35761,1.35742,1.35755,299,2,0
2025-09-11 21:35:00,1.3575599999999999,1.35757,1.35724,1.35747,311,2,0
2025-09-11 21:40:00,1.35748,1.35775,1.35748,1.35757,320,2,0
2025-09-11 21:45:00,1.3575599999999999,1.35778,1.35754,1.35774,217,2,0
2025-09-11 21:50:00,1.35775,1.35813,1.3577,1.35799,308,2,0
2025-09-11 21:55:00,1.358,1.35821,1.3578999999999999,1.3578999999999999,301,2,0
2025-09-11 22:00:00,1.35789,1.35802,1.3577,1.35794,320,2,0
2025-09-11 22:05:00,1.35793,1.3581699999999999,1.35791,1.35801,343,2,0
2025-09-11 22:10:00,1.35802,1.35813,1.35786,1.35793,294,2,0
2025-09-11 22:15:00,1.35792,1.35807,1.35792,1.358,270,2,0
2025-09-11 22:20:00,1.35799,1.35809,1.3578999999999999,1.358,237,2,0
2025-09-11 22:25:00,1.35801,1.35802,1.35779,1.35785,252,2,0
2025-09-11 22:30:00,1.35786,1.35789,1.35768,1.35785,254,2,0
2025-09-11 22:35:00,1.35785,1.35799,1.35772,1.3578700000000001,247,2,0
2025-09-11 22:40:00,1.35786,1.35799,1.35776,1.3578000000000001,239,2,0
2025-09-11 22:45:00,1.35781,1.3578700000000001,1.35772,1.35782,145,2,0
2025-09-11 22:50:00,1.35781,1.35802,1.35781,1.35789,320,2,0
2025-09-11 22:55:00,1.35792,1.35795,1.35776,1.35777,298,2,0
2025-09-11 23:00:00,1.35778,1.35784,1.35774,1.35778,185,2,0
2025-09-11 23:05:00,1.35779,1.35793,1.35777,1.35788,210,2,0
2025-09-11 23:10:00,1.3578700000000001,1.35802,1.35785,1.358,217,2,0
2025-09-11 23:15:00,1.35799,1.358,1.35778,1.3578000000000001,164,2,0
2025-09-11 23:20:00,1.3578000000000001,1.35782,1.35761,1.3577,115,2,0
2025-09-11 23:25:00,1.35769,1.35772,1.35762,1.35764,111,2,0
2025-09-11 23:30:00,1.35763,1.3578000000000001,1.35759,1.35761,175,2,0
2025-09-11 23:35:00,1.35763,1.35786,1.35761,1.3578000000000001,184,2,0
2025-09-11 23:40:00,1.35777,1.3578700000000001,1.35771,1.35786,129,10,0
2025-09-11 23:45:00,1.35786,1.35789,1.35762,1.35765,1427,10,0
2025-09-11 23:50:00,1.35764,1.35781,1.35758,1.35764,428,10,0
2025-09-11 23:55:00,1.35764,1.35765,1.3569,1.35715,327,10,0
2025-09-12 00:00:00,1.3568500000000001,1.35723,1.35683,1.35717,15,38,0
2025-09-12 00:05:00,1.35717,1.35717,1.35717,1.35717,1,45,0
2025-09-12 00:10:00,1.35644,1.35715,1.35644,1.35713,14,43,0
2025-09-12 00:15:00,1.35713,1.35715,1.35713,1.35713,4,44,0
2025-09-12 00:20:00,1.35679,1.35687,1.35676,1.35686,19,100,0
2025-09-12 00:25:00,1.3568500000000001,1.35686,1.35682,1.3568500000000001,28,100,0
2025-09-12 00:30:00,1.35686,1.35715,1.3568,1.35715,23,76,0
2025-09-12 00:35:00,1.35681,1.35715,1.35681,1.35715,22,76,0
2025-09-12 00:40:00,1.35711,1.35711,1.35711,1.35711,2,84,0
2025-09-12 00:45:00,1.35712,1.35724,1.35687,1.35724,9,76,0
2025-09-12 00:50:00,1.35723,1.35733,1.35697,1.35732,29,74,0
2025-09-12 00:55:00,1.35733,1.35734,1.35691,1.35709,76,79,0
2025-09-12 01:00:00,1.3568500000000001,1.35789,1.35684,1.35786,51,3,0
2025-09-12 01:05:00,1.3578700000000001,1.35803,1.3578000000000001,1.35786,59,3,0
2025-09-12 01:10:00,1.3578700000000001,1.35801,1.35775,1.35777,101,3,0
2025-09-12 01:15:00,1.35776,1.3578299999999999,1.35759,1.35767,51,3,0
2025-09-12 01:20:00,1.35766,1.3577,1.3576,1.35765,70,3,0
2025-09-12 01:25:00,1.35767,1.35789,1.35767,1.35781,78,3,0
2025-09-12 01:30:00,1.3578000000000001,1.35788,1.35767,1.35775,58,3,0
2025-09-12 01:35:00,1.35774,1.3578299999999999,1.35771,1.35774,58,3,0
2025-09-12 01:40:00,1.35772,1.3578299999999999,1.35767,1.35775,102,3,0
2025-09-12 01:45:00,1.35775,1.35775,1.35765,1.35771,51,3,0
2025-09-12 01:50:00,1.35771,1.35779,1.35769,1.35772,66,3,0
2025-09-12 01:55:00,1.35771,1.35789,1.35767,1.35789,67,3,0
2025-09-12 02:00:00,1.3578700000000001,1.35805,1.35786,1.35801,105,3,0
2025-09-12 02:05:00,1.35802,1.35804,1.3578299999999999,1.35786,64,3,0
2025-09-12 02:10:00,1.3578700000000001,1.35789,1.35766,1.35786,82,3,0
2025-09-12 02:15:00,1.35785,1.35786,1.35776,1.35777,89,3,0
2025-09-12 02:20:00,1.35778,1.35784,1.35776,1.35782,74,3,0
2025-09-12 02:25:00,1.3578299999999999,1.3578299999999999,1.35769,1.35777,76,3,0
2025-09-12 02:30:00,1.35774,1.35779,1.35765,1.35768,78,3,0
2025-09-12 02:35:00,1.35768,1.35781,1.35768,1.35779,48,3,0
2025-09-12 02:40:00,1.35778,1.35778,1.35767,1.35772,60,3,0
2025-09-12 02:45:00,1.35773,1.35774,1.35742,1.35744,110,2,0
2025-09-12 02:50:00,1.35742,1.3576,1.35741,1.35757,80,2,0
2025-09-12 02:55:00,1.3575599999999999,1.35773,1.35739,1.3574,302,2,0
2025-09-12 03:00:00,1.35738,1.35754,1.35723,1.35747,326,2,0
2025-09-12 03:05:00,1.3574899999999999,1.35751,1.35717,1.3573,336,2,0
2025-09-12 03:10:00,1.3572899999999999,1.35758,1.35716,1.35743,270,2,0
2025-09-12 03:15:00,1.35742,1.35748,1.35723,1.35732,422,2,0
2025-09-12 03:20:00,1.3573,1.35734,1.3571900000000001,1.3572600000000001,437,2,0
2025-09-12 03:25:00,1.35724,1.35739,1.3572,1.3572899999999999,315,2,0
2025-09-12 03:30:00,1.35727,1.35738,1.3571,1.35718,294,2,0
2025-09-12 03:35:00,1.35716,1.35717,1.35687,1.35698,231,2,0
2025-09-12 03:40:00,1.35697,1.35707,1.35686,1.35704,385,2,0
2025-09-12 03:45:00,1.35705,1.35723,1.35698,1.35709,407,2,0
2025-09-12 03:50:00,1.35708,1.35724,1.35704,1.35723,507,2,0
2025-09-12 03:55:00,1.35721,1.35735,1.35711,1.3572600000000001,344,2,0
2025-09-12 04:00:00,1.35727,1.35736,1.35689,1.3569499999999999,291,2,0
2025-09-12 04:05:00,1.35693,1.35693,1.35647,1.35664,355,2,0
2025-09-12 04:10:00,1.35663,1.3566500000000001,1.35614,1.3562,230,2,0
2025-09-12 04:15:00,1.35617,1.35622,1.35599,1.35602,190,2,0
2025-09-12 04:20:00,1.35603,1.35623,1.35592,1.35617,230,2,0
2025-09-12 04:25:00,1.35618,1.35639,1.35608,1.35637,223,2,0
2025-09-12 04:30:00,1.35638,1.35656,1.35632,1.35636,248,2,0
2025-09-12 04:35:00,1.35637,1.35646,1.35615,1.35641,293,2,0
2025-09-12 04:40:00,1.35642,1.35644,1.35596,1.3560400000000001,326,2,0
2025-09-12 04:45:00,1.3560400000000001,1.35609,1.35582,1.35586,213,2,0
2025-09-12 04:50:00,1.35586,1.35591,1.35571,1.3557299999999999,325,2,0
2025-09-12 04:55:00,1.35572,1.35581,1.3556599999999999,1.3557299999999999,322,2,0
2025-09-12 05:00:00,1.35576,1.35577,1.35554,1.35565,207,2,0
2025-09-12 05:05:00,1.35564,1.3560699999999999,1.3556300000000001,1.35606,254,2,0
2025-09-12 05:10:00,1.3560699999999999,1.35629,1.35606,1.35608,284,2,0
2025-09-12 05:15:00,1.3560699999999999,1.35612,1.35572,1.35595,199,2,0
2025-09-12 05:20:00,1.35596,1.3559999999999999,1.35582,1.35588,237,2,0
2025-09-12 05:25:00,1.35587,1.35599,1.35575,1.35576,198,2,0
2025-09-12 05:30:00,1.35574,1.35589,1.3556599999999999,1.35585,225,2,0
2025-09-12 05:35:00,1.35584,1.35588,1.3556599999999999,1.35588,159,2,0
